Item_Code,full_picks_qty
61166,0.44109,0.44109,290,390,390,0.4872,1,290
61168,0.0,0.0,280,390,390,0.4704,0,0
61169,0.0,0.0,290,430,380,0.4872,0,0
61200,0.46035,0.46035,330,310,250,0.5544,1,330
61201,0.018432,0.018432,240,320,240,0.4032,1,240
61202,0.108288,0.108288,240,470,240,0.4032,1,240
61274,0.0,0.0,360,405,255,0.6048,0,0
61287,0.186276,0.186276,430,570,190,0.7224,1,430
61288,0.294,0.294,350,350,240,0.588,1,350
61291,0.3528,0.3528,350,350,240,0.588,1,350
61298,0.0,0.0,420,560,230,0.7056,0,0
61300,0.0,0.0,420,560,230,0.7056,0,0
61301,0.0,0.0,420,560,230,0.7056,0,0
61313,0.0,0.0,200,470,325,0.336,0,0
61314,0.0,0.0,200,470,325,0.336,0,0
61315,0.0,0.0,200,470,325,0.336,0,0
61316,0.343824,0.343824,290,380,390,0.4872,1,290
61321,0.0,0.0,350,570,290,0.588,0,0
61323,0.039936,0.039936,320,520,240,0.5376,1,320
61324,0.960336,0.960336,260,380,360,0.4368,3,780
61325,0.0,0.0,220,330,210,0.3696,0,0
61326,1.978086,1.978086,410,330,340,0.6888,3,1230
61328,0.4515,0.4515,250,420,430,0.42,2,500
61369,0.10368,0.10368,360,450,320,0.6048,1,360
61370,0.0,0.0,360,450,320,0.6048,0,0
61371,0.15552,0.15552,360,450,320,0.6048,1,360
61372,0.0,0.0,360,450,320,0.6048,0,0
61373,0.0,0.0,360,450,320,0.6048,0,0
61374,0.0,0.0,340,440,310,0.5712,0,0
61376,0.0,0.0,340,440,310,0.5712,0,0
61379,1.651584,1.651584,330,460,320,0.5544,3,990
61381,0.983664,0.983664,330,460,360,0.5544,2,660
61382,1.651584,1.651584,330,460,320,0.5544,3,990
61386,0.0,0.0,250,360,520,0.42,0,0
61389,0.025024,0.025024,320,340,230,0.5376,1,320
61404,0.0,0.0,255,320,360,0.4284,0,0
61405,0.29376,0.29376,255,320,360,0.4284,1,255
61410,0.0,0.0,260,350,210,0.4368,0,0
61411,0.0,0.0,260,350,210,0.4368,0,0
61435,0.693576,0.693576,380,390,390,0.6384,2,760
61436,0.33124,0.33124,350,520,260,0.588,1,350
61437,0.455532,0.455532,440,510,290,0.7392,1,440
61438,0.0,0.0,420,340,340,0.7056,0,0
61439,0.9744,0.9744,350,600,290,0.588,2,700
61440,0.0,0.0,200,300,200,0.336,0,0
61442,0.0,0.0,200,370,350,0.336,0,0
61443,0.0,0.0,260,380,360,0.4368,0,0
61445,0.0,0.0,220,250,410,0.3696,0,0
61511,0.0,0.0,255,310,320,0.4284,0,0
61512,0.0,0.0,250,410,250,0.42,0,0
61513,0.0,0.0,365,405,220,0.6132,0,0
61514,0.0,0.0,220,340,340,0.3696,0,0
61515,0.0,0.0,180,410,290,0.3024,0,0
61517,1.161216,1.161216,280,360,320,0.4704,3,840
61518,1.4157,1.4157,325,440,180,0.546,3,975
61519,0.566352,0.566352,380,460,270,0.6384,1,380
61520,0.988416,0.988416,240,660,520,0.4032,3,720
61522,0.0,0.0,255,310,320,0.4284,0,0
61523,0.0,0.0,250,410,250,0.42,0,0
61524,0.0,0.0,365,405,220,0.6132,0,0
61526,0.0,0.0,180,410,290,0.3024,0,0
61528,0.838656,0.838656,260,360,320,0.4368,2,520
61529,1.31274,1.31274,325,440,180,0.546,3,975
61530,0.566352,0.566352,380,460,270,0.6384,1,380
61531,0.988416,0.988416,240,660,520,0.4032,3,720
61532,0.182528,0.182528,230,310,320,0.3864,1,230
61533,0.0,0.0,240,330,250,0.4032,0,0
61534,0.0,0.0,240,490,250,0.4032,0,0
61536,3.16848,3.16848,410,400,280,0.6888,3,1230
61537,4.381096,4.381096,380,410,380,0.6384,3,1140
61538,0.0,0.0,260,330,260,0.4368,0,0
61539,0.638848,0.638848,230,310,320,0.3864,2,460
61540,0.0,0.0,240,330,250,0.4032,0,0
61541,0.0,0.0,240,490,250,0.4032,0,0
61543,5.18896,5.18896,410,400,280,0.6888,3,1230
61544,6.453236,6.453236,380,410,380,0.6384,3,1140
61545,0.0,0.0,260,330,260,0.4368,0,0
61546,0.296608,0.296608,230,310,320,0.3864,1,230
61547,0.0,0.0,240,330,250,0.4032,0,0
61548,0.0,0.0,240,490,250,0.4032,0,0
61549,0.0,0.0,220,220,420,0.3696,0,0
61550,10.401405,10.401405,365,575,280,0.6132,3,1095
61551,9.058212,9.058212,380,410,380,0.6384,3,1140
61552,0.0,0.0,260,330,260,0.4368,0,0
61621,0.0,0.0,340,430,290,0.5712,0,0
61628,0.0,0.0,250,360,290,0.42,0,0
61629,0.0,0.0,250,360,290,0.42,0,0
61630,0.0,0.0,250,360,290,0.42,0,0
61631,0.0,0.0,250,360,290,0.42,0,0
61632,0.0,0.0,250,360,290,0.42,0,0
61633,0.0,0.0,250,360,290,0.42,0,0
61635,0.0,0.0,280,490,180,0.4704,0,0
61636,0.0,0.0,280,490,180,0.4704,0,0
61637,0.12348,0.12348,280,490,180,0.4704,1,280
61638,0.197568,0.197568,280,490,180,0.4704,1,280
61639,0.296352,0.296352,280,490,180,0.4704,1,280
61653,0.0,0.0,320,450,280,0.5376,0,0
61654,0.0,0.0,320,450,280,0.5376,0,0
61656,0.0,0.0,320,450,280,0.5376,0,0
61658,0.0,0.0,300,370,340,0.504,0,0
61659,0.0,0.0,300,370,340,0.504,0,0
61660,0.0,0.0,300,370,340,0.504,0,0
61661,0.0,0.0,300,370,340,0.504,0,0
61662,0.0,0.0,300,370,340,0.504,0,0
