activ,rtype,depth,high,shgt,usedhgt,weight,usedwgt,slottype,link,serial,mixbatch,mixitems,noalloc,frzstock,radionum,width,wide,usedwidth,check_num,pltperpos,oldslot,autoreleas,mixitemmov,fznomove,movetoslot,desc,item,sdepth,usedvol,svolume,isrecvbay,usedeffrz,deffrzcode,loccode,aisle,bay,level,position,loccodemt,aislemt,baymt,levelmt,positionmt,ispickslot,area,okpickslot,multiitmpk,hostloc,replenmeth,mixuseby,chargegrp,stkcfgmvfr,okstkcfgmv,cycitmacc,category,addsltocyc,counttimes,canmvfrz,donotpick,lstcounted
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,32,F,27062A,F, ,F,,,,1210,0.61951,2.808,F, ,,  R, QQ,6, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,490,1000,158.61,R, ,0, , ,F, ,,1210,1,1310,13,F,27062B,F, ,F,,,,1210,1.77606,2.808,F, ,,  R, QQ,6, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,472,1000,181.944,R, ,0, , ,F, ,,1210,1,1310,52,F,27062C,F, ,F,,,,1210,1.50063,2.808,F, ,,  R, QQ,6, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,780,2000,618.9,R, ,0, , ,F, ,,1210,1,1310,33,F,27081A,F, ,F,,,,1210,1.9022,2.808,F, ,,  R, QQ,8, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,578,1000,61.6,R, ,0, , ,F, ,,1210,1,1310,17,F,27081B,F, ,F,,,,1210,1.9022,2.808,F, ,,  R, QQ,8, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,505,1000,59.4,R, ,0, , ,F, ,,1210,1,1310,94,F,27081C,F, ,F,,,,1210,0.96858,2.808,F, ,,  R, QQ,8, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,591,2000,471.9,R, ,0, , ,F, ,,1210,1,1310,73,F,27082A,F, ,F,,,,1210,0.79384,2.808,F, ,,  R, QQ,8, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,780,1000,93.73,R, ,0, , ,F, ,,1210,1,1310,48,F,27082B,F, ,F,,,,1210,1.36858,2.808,F, ,,  R, QQ,8, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,504,1000,114.8,R, ,0, , ,F, ,,1210,1,1310,11,F,27082C,F, ,F,,,,1210,0.97344,2.808,F, ,,  R, QQ,8, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,258,2000,92.3,R, ,0, , ,F, ,,1210,1,1310,92,F,27101A,F, ,F,,,,1210,0,2.808,F, ,,  R, QQ,10, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,888,1000,102.5,R, ,0, , ,F, ,,1210,1,1310,91,F,27101B,F, ,F,,,,1210,0.80438,2.808,F, ,,  R, QQ,10, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,572,1000,117.6,R, ,0, , ,F, ,,1210,1,1310,61,F,27101C,F, ,F,,,,1210,1.06666,2.808,F, ,,  R, QQ,10, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,127,2000,23.2,R, ,0, , ,F, ,,1210,1,1310,89,F,27102A,F, ,F,,,,1210,0.70201,2.808,F, ,,  R, QQ,10, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,756,1000,172.2,R, ,0, , ,F, ,,1210,1,1310,98,F,27102B,F, ,F,,,,1210,0.69913,2.808,F, ,,  R, QQ,10, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,724,1000,77.28,R, ,0, , ,F, ,,1210,1,1310,16,F,27102C,F, ,F,,,,1210,1.28882,2.808,F, ,,  R, QQ,10, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,15,F,27121A,F, ,F,,,,1210,0.6224,2.808,F, ,,  R, QQ,12, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,1061,1000,360,R, ,0, , ,F, ,,1210,1,1310,61,F,27121B,F, ,F,,,,1210,1.06666,2.808,F, ,,  R, QQ,12, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,316,1000,99.4,R, ,0, , ,F, ,,1210,1,1310,65,F,27121C,F, ,F,,,,1210,1.58112,2.808,F, ,,  R, QQ,12, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,37,F,27122A,F, ,F,,,,1210,0.6224,2.808,F, ,,  R, QQ,12, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,248,1000,42.4,R, ,0, , ,F, ,,1210,1,1310,70,F,27122B,F, ,F,,,,1210,1.19763,2.808,F, ,,  R, QQ,12, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,1000,143.5,R, ,0, , ,F, ,,1210,1,1310,76,F,27122C,F, ,F,,,,1210,0.7134,2.808,F, ,,  R, QQ,12, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,16,F,27141A,F, ,F,,,,1210,1.39219,2.808,F, ,,  R, QQ,14, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,340,1000,40.75,R, ,0, , ,F, ,,1210,1,1310,74,F,27141B,F, ,F,,,,1210,0.8721,2.808,F, ,,  R, QQ,14, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,479,1000,107.86,R, ,0, , ,F, ,,1210,1,1310,8,F,27141C,F, ,F,,,,1210,0.5436,2.808,F, ,,  R, QQ,14, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,69,F,27142A,F, ,F,,,,1210,1.2,2.808,F, ,,  R, QQ,14, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,532,1000,148.35,R, ,0, , ,F, ,,1210,1,1310,27,F,27142B,F, ,F,,,,1210,0.73644,2.808,F, ,,  R, QQ,14, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,452,1000,71.2,R, ,0, , ,F, ,,1210,1,1310,52,F,27142C,F, ,F,,,,1210,1.4196,2.808,F, ,,  R, QQ,14, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,281,2000,165,R, ,0, , ,F, ,,1210,1,1310,57,F,27161A,F, ,F,,,,1210,0.62208,-1,F, ,,  R, QQ,16, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,225,1000,40.8,R, ,0, , ,F, ,,1210,1,1310,12,F,27161B,F, ,F,,,,1210,1.65888,2.808,F, ,,  R, QQ,16, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,693,1000,157.85,R, ,0, , ,F, ,,1210,1,1310,59,F,27161C,F, ,F,,,,1210,1.6082,2.808,F, ,,  R, QQ,16, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,22,F,27162A,F, ,F,,,,1210,0.9234,2.808,F, ,,  R, QQ,16, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,618,1000,112.2,R, ,0, , ,F, ,,1210,1,1310,20,F,27162B,F, ,F,,,,1210,1.06666,2.808,F, ,,  R, QQ,16, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,449,1000,81.6,R, ,0, , ,F, ,,1210,1,1310,47,F,27162C,F, ,F,,,,1210,1.6082,2.808,F, ,,  R, QQ,16, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,293,2000,102.568,R, ,0, , ,F, ,,1210,1,1310,25,F,27181A,F, ,F,,,,1210,0,2.808,F, ,,  R, QQ,18, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,505,1000,91.8,R, ,0, , ,F, ,,1210,1,1310,44,F,27181B,F, ,F,,,,1210,1.06666,2.808,F, ,,  R, QQ,18, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,179,1000,73.8,R, ,0, , ,F, ,,1210,1,1310,3,F,27181C,F, ,F,,,,1210,1.70168,2.808,F, ,,  R, QQ,18, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,94,F,27182A,F, ,F,,,,1210,0.10742,2.808,F, ,,  R, QQ,18, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,760,1000,176.8,R, ,0, , ,F, ,,1210,1,1310,17,F,27182B,F, ,F,,,,1210,0.79736,2.808,F, ,,  R, QQ,18, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,954,1000,173.4,R, ,0, , ,F, ,,1210,1,1310,26,F,27182C,F, ,F,,,,1210,1.07369,2.808,F, ,,  R, QQ,18, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,99,F,27201A,F, ,F,,,,1210,1.83084,2.808,F, ,,  R, QQ,20, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,638,1000,71.05,R, ,0, , ,F, ,,1210,1,1310,73,F,27201B,F, ,F,,,,1210,1.15315,2.808,F, ,,  R, QQ,20, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,585,2000,136,R, ,0, , ,F, ,,1210,1,1310,43,F,27201C,F, ,F,,,,1210,1.75968,2.808,F, ,,  R, QQ,20, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,80,F,27202A,F, ,F,,,,1210,0.99568,2.808,F, ,,  R, QQ,20, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,393,1000,71.4,R, ,0, , ,F, ,,1210,1,1310,59,F,27202B,F, ,F,,,,1210,0.6224,2.808,F, ,,  R, QQ,20, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,786,2000,142.8,R, ,0, , ,F, ,,1210,1,1310,79,F,27202C,F, ,F,,,,1210,0.7332,2.808,F, ,,  R, QQ,20, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,29,F,27221A,F, ,F,,,,1210,10.51089,2.808,F, ,,  R, QQ,22, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,1011,1000,183.6,R, ,0, , ,F, ,,1210,1,1310,32,F,27221B,F, ,F,,,,1210,1.75325,2.808,F, ,,  R, QQ,22, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,449,1000,81.6,R, ,0, , ,F, ,,1210,1,1310,54,F,27221C,F, ,F,,,,1210,1.28975,2.808,F, ,,  R, QQ,22, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,93,F,27222A,F, ,F,,,,1210,1.48777,2.808,F, ,,  R, QQ,22, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,404,1000,163.54,R, ,0, , ,F, ,,1210,1,1310,6,F,27222B,F, ,F,,,,1210,0.57831,2.808,F, ,,  R, QQ,22, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,842,1000,153,R, ,0, , ,F, ,,1210,1,1310,7,F,27222C,F, ,F,,,,1210,0.56422,2.808,F, ,,  R, QQ,22, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,724,2000,77.28,R, ,0, , ,F, ,,1210,1,1310,20,F,27241A,F, ,F,,,,1210,0,2.808,F, ,,  R, QQ,24, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,724,1000,77.28,R, ,0, , ,F, ,,1210,1,1310,34,F,27241B,F, ,F,,,,1210,1.87238,2.808,F, ,,  R, QQ,24, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,428,1000,132.2,R, ,0, , ,F, ,,1210,1,1310,74,F,27241C,F, ,F,,,,1210,0.7137,2.808,F, ,,  R, QQ,24, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,2000,143.5,R, ,0, , ,F, ,,1210,1,1310,65,F,27242A,F, ,F,,,,1210,0.26838,2.808,F, ,,  R, QQ,24, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,453,1000,48.3,R, ,0, , ,F, ,,1210,1,1310,37,F,27242B,F, ,F,,,,1210,0.71429,2.808,F, ,,  R, QQ,24, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,630,1000,143.5,R, ,0, , ,F, ,,1210,1,1310,70,F,27242C,F, ,F,,,,1210,0.72,2.808,F, ,,  R, QQ,24, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,252,2000,57.4,R, ,0, , ,F, ,,1210,1,1310,16,F,27261A,F, ,F,,,,1210,0.336,2.808,F, ,,  R, QQ,26, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,572,1000,138,R, ,0, , ,F, ,,1210,1,1310,75,F,27261B,F, ,F,,,,1210,0.82368,2.808,F, ,,  R, QQ,26, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,567,1000,129.15,R, ,0, , ,F, ,,1210,1,1310,76,F,27261C,F, ,F,,,,1210,0.93139,2.808,F, ,,  R, QQ,26, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,843,2000,185.5,R, ,0, , ,F, ,,1210,1,1310,46,F,27262A,F, ,F,,,,1210,0.62471,2.808,F, ,,  R, QQ,26, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,842,1000,153,R, ,0, , ,F, ,,1210,1,1310,6,F,27262B,F, ,F,,,,1210,1.404,2.808,F, ,,  R, QQ,26, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,241,1000,25.76,R, ,0, , ,F, ,,1210,1,1310,31,F,27262C,F, ,F,,,,1210,0.7137,2.808,F, ,,  R, QQ,26, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,1002,2000,263.7,R, ,0, , ,F, ,,1210,1,1310,18,F,27281A,F, ,F,,,,1210,1.52755,2.808,F, ,,  R, QQ,28, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,396,1000,107.85,R, ,0, , ,F, ,,1210,1,1310,2,F,27281B,F, ,F,,,,1210,0.49025,2.808,F, ,,  R, QQ,28, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,516,1000,298.2,R, ,0, , ,F, ,,1210,1,1310,27,F,27281C,F, ,F,,,,1210,1.06666,2.808,F, ,,  R, QQ,28, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,779,2000,185.92,R, ,0, , ,F, ,,1210,1,1310,69,F,27282A,F, ,F,,,,1210,1.52755,2.808,F, ,,  R, QQ,28, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,315,1000,130.5,R, ,0, , ,F, ,,1210,1,1310,45,F,27282B,F, ,F,,,,1210,1.06666,2.808,F, ,,  R, QQ,28, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,888,1000,102.5,R, ,0, , ,F, ,,1210,1,1310,86,F,27282C,F, ,F,,,,1210,0,2.808,F, ,,  R, QQ,28, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,977,2000,181.35,R, ,0, , ,F, ,,1210,1,1310,10,F,27301A,F, ,F,,,,1210,0.31886,2.808,F, ,,  R, QQ,30, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,466,1000,143.52,R, ,0, , ,F, ,,1210,1,1310,27,F,27301B,F, ,F,,,,1210,0.0665,2.808,F, ,,  R, QQ,30, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,320,1000,36.9,R, ,0, , ,F, ,,1210,1,1310,30,F,27301C,F, ,F,,,,1210,0.73008,2.808,F, ,,  R, QQ,30, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,432,2000,94.5,R, ,0, , ,F, ,,1210,1,1310,84,F,27302A,F, ,F,,,,1210,0,2.808,F, ,,  R, QQ,30, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,878,1000,256.8,R, ,0, , ,F, ,,1210,1,1310,40,F,27302B,F, ,F,,,,1210,1.38624,2.808,F, ,,  R, QQ,30, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,938,2000,151.2,R, ,0, , ,F, ,,1210,1,1310,49,F,27302C,F, ,F,,,,1210,1.08326,2.808,F, ,,  R, QQ,30, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,846,2000,94.8,R, ,0, , ,F, ,,1210,1,1310,92,F,27321A,F, ,F,,,,1210,2.145,2.808,F, ,,  R, QQ,32, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,281,1000,80.4,R, ,0, , ,F, ,,1210,1,1310,27,F,27321B,F, ,F,,,,1210,1.30065,2.808,F, ,,  R, QQ,32, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,346,1000,141.8,R, ,0, , ,F, ,,1210,1,1310,99,F,27321C,F, ,F,,,,1210,0.6864,2.808,F, ,,  R, QQ,32, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,615,2000,198,R, ,0, , ,F, ,,1210,1,1310,55,F,27322A,F, ,F,,,,1210,1.0268,2.808,F, ,,  R, QQ,32, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,720,1000,167.85,R, ,0, , ,F, ,,1210,1,1310,99,F,27322B,F, ,F,,,,1210,0.88435,2.808,F, ,,  R, QQ,32, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,311,2000,37.6,R, ,0, , ,F, ,,1210,1,1310,35,F,27322C,F, ,F,,,,1210,1.17945,2.808,F, ,,  R, QQ,32, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,738,2000,237.6,R, ,0, , ,F, ,,1210,1,1310,41,F,27341A,F, ,F,,,,1210,0.48994,2.808,F, ,,  R, QQ,34, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,815,1000,243.2,R, ,0, , ,F, ,,1210,1,1310,90,F,27341B,F, ,F,,,,1210,0.86112,2.808,F, ,,  R, QQ,34, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,675,1000,77.9,R, ,0, , ,F, ,,1210,1,1310,19,F,27341C,F, ,F,,,,1210,0.54022,2.808,F, ,,  R, QQ,34, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,618,2000,118.45,R, ,0, , ,F, ,,1210,1,1310,23,F,27342A,F, ,F,,,,1210,0.65616,2.808,F, ,,  R, QQ,34, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,820,2000,264,R, ,0, , ,F, ,,1210,1,1310,30,F,27342B,F, ,F,,,,1210,0.52263,2.808,F, ,,  R, QQ,34, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,680,1000,220,R, ,0, , ,F, ,,1210,1,1310,49,F,27342C,F, ,F,,,,1210,1.58638,2.808,F, ,,  R, QQ,34, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,217,2000,100,R, ,0, , ,F, ,,1210,1,1310,60,F,27361A,F, ,F,,,,1210,0.384,2.808,F, ,,  R, QQ,36, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,683,1000,180.8,R, ,0, , ,F, ,,1210,1,1310,74,F,27361B,F, ,F,,,,1210,1.44685,2.808,F, ,,  R, QQ,36, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,269,2000,83.7,R, ,0, , ,F, ,,1210,1,1310,61,F,27361C,F, ,F,,,,1210,1.65888,2.808,F, ,,  R, QQ,36, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,725,2000,192.1,R, ,0, , ,F, ,,1210,1,1310,36,F,27362A,F, ,F,,,,1210,0.22142,2.808,F, ,,  R, QQ,36, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,400,1000,122.85,R, ,0, , ,F, ,,1210,1,1310,49,F,27362B,F, ,F,,,,1210,0.32256,2.808,F, ,,  R, QQ,36, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,763,2000,71.4,R, ,0, , ,F, ,,1210,1,1310,42,F,27362C,F, ,F,,,,1210,0.9767,2.808,F, ,,  R, QQ,36, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,559,2000,198.84,R, ,0, , ,F, ,,1210,1,1310,64,F,27381A,F, ,F,,,,1210,0.42035,2.808,F, ,,  R, QQ,38, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,298,1000,74,R, ,0, , ,F, ,,1210,1,1310,97,F,27381B,F, ,F,,,,1210,1.38046,2.808,F, ,,  R, QQ,38, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,137,1000,46.02,R, ,0, , ,F, ,,1210,1,1310,46,F,27381C,F, ,F,,,,1210,0.80819,2.808,F, ,,  R, QQ,38, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,411,2000,91.2,R, ,0, , ,F, ,,1210,1,1310,60,F,27382A,F, ,F,,,,1210,2.0536,2.808,F, ,,  R, QQ,38, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,327,1000,94.4,R, ,0, , ,F, ,,1210,1,1310,69,F,27382B,F, ,F,,,,1210,1.24497,2.808,F, ,,  R, QQ,38, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,763,1000,71.4,R, ,0, , ,F, ,,1210,1,1310,52,F,27382C,F, ,F,,,,1210,1.52755,-1,F, ,,  R, QQ,38, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,171,2000,82.8,R, ,0, , ,F, ,,1210,1,1310,66,F,28051A,F, ,F,,,,1210,1.47734,2.808,F, ,,  R, RR,5, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
N,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,22,F,28051B,F, ,F,,,,1210,1.70726,2.808,F, ,,  R, RR,5, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
N,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,22,F,28051C,F, ,F,,,,1210,0.1705,2.808,F, ,,  R, RR,5, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
N,1,1,1,1500,0,2000,0,R, ,0, , ,F, ,,1210,1,0,76,F,28052A,F, ,F,,,,1210,2.02813,2.808,F, ,,  R, RR,5, A,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,442,1000,138.8,R, ,0, , ,F, ,,1210,1,1310,68,F,28052B,F, ,F,,,,1210,0.65423,2.808,F, ,,  R, RR,5, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
N,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,32,F,28052C,F, ,F,,,,1210,0.73293,2.808,F, ,,  R, RR,5, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
N,1,1,1,1500,0,2000,0,R, ,0, , ,F, ,,1210,1,0,70,F,28071A,F, ,F,,,,1210,1.80567,2.808,F, ,,  R, RR,7, A,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,816,1000,268.15,R, ,0, , ,F, ,,1210,1,1310,81,F,28071B,F, ,F,,,,1210,1.66667,2.808,F, ,,  R, RR,7, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
