activ,rtype,depth,high,shgt,usedhgt,weight,usedwgt,slottype,link,serial,mixbatch,mixitems,noalloc,frzstock,radionum,width,wide,usedwidth,check_num,pltperpos,oldslot,autoreleas,mixitemmov,fznomove,movetoslot,desc,item,sdepth,usedvol,svolume,isrecvbay,usedeffrz,deffrzcode,loccode,aisle,bay,level,position,loccodemt,aislemt,baymt,levelmt,positionmt,ispickslot,area,okpickslot,multiitmpk,hostloc,replenmeth,mixuseby,chargegrp,stkcfgmvfr,okstkcfgmv,cycitmacc,category,addsltocyc,counttimes,canmvfrz,donotpick,lstcounted
Y,1,1,1,1500,405,1000,67.2,R, ,0, , ,F, ,,1210,1,1310,29,F,01112C,F, ,F,,,,1210,1.0293,2.808,F, ,,  R, II,11, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,474,1000,61.2,R, ,0, , ,F, ,,1210,1,1310,89,F,01131B,F, ,F,,,,1210,1.28882,2.808,F, ,,  R, II,13, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,329,1000,58,R, ,0, , ,F, ,,1210,1,1310,20,F,01131C,F, ,F,,,,1210,0.9261,2.808,F, ,,  R, II,13, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,442,1000,19.5,R, ,0, , ,F, ,,1210,1,1310,24,F,01132B,F, ,F,,,,1210,1.0619,2.808,F, ,,  R, II,13, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,759,1000,102.75,R, ,0, , ,F, ,,1210,1,1310,74,F,01132C,F, ,F,,,,1210,0.42504,2.808,F, ,,  R, II,13, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,720,1000,128.8,R, ,0, , ,F, ,,1210,1,1310,23,F,01151B,F, ,F,,,,1210,0.43571,2.808,F, ,,  R, II,15, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,299,1000,107.8,R, ,0, , ,F, ,,1210,1,1310,56,F,01151C,F, ,F,,,,1210,0.07841,2.808,F, ,,  R, II,15, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,395,1000,121,R, ,0, , ,F, ,,1210,1,1310,43,F,01152B,F, ,F,,,,1210,1.28882,2.808,F, ,,  R, II,15, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,652,1000,163.2,R, ,0, , ,F, ,,1210,1,1310,96,F,01152C,F, ,F,,,,1210,0,2.808,F, ,,  R, II,15, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,498,1000,149.4,R, ,0, , ,F, ,,1210,1,1310,10,F,01171B,F, ,F,,,,1210,1.9022,2.808,F, ,,  R, II,17, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
