item,des,externalid,owner,hits,units,aveunitday,cases,pallets,cube,unitpcase,dayshit,physqty,contnum,familycode,ti,hi,majgroup,mingroup,catagory,loccode,aisle,bay,level,position
"       45954","Butcher Stripe Red Teen Apron","       45954","LAD",1,8,8.000,0.111,0.004,0.012960,72,1,137.000,"","",5,5,"KD","007","","  R"," DD"," 41"," 3"," 2"
"       45956","Butcher Stripe Cobalt Teen Apron","       45956","LAD",1,8,8.000,0.111,0.004,0.010150,72,1,165.000,"","",5,5,"KD","007","","  R"," DD"," 30"," 1"," 4"
"       46287","Base Linen Look White 1.5mx2.25m","       46287","LAD",2,2,1.000,0.167,0.007,0.009790,12,2,113.000,"","",5,5,"KD","008","","  R"," DD"," 21"," 1"," 3"
"       46288","Base Linen Look White 1.5mx2.65m","       46288","LAD",3,1,0.333,0.083,0.003,0.014830,12,3,128.000,"","",5,5,"KD","008","","  R"," DD"," 21"," 1"," 2"
"       46288","Base Linen Look White 1.5mx2.65m","       46288","LAD",1,1,1.000,0.083,0.003,0.003260,12,1,128.000,"","",5,5,"KD","008","","  R"," MM","  5"," A"," 1"
"       46289","Base Linen Look White 1.5mx3m Tab","       46289","LAD",2,4,2.000,0.333,0.013,0.027570,12,2,120.000,"","",5,5,"KD","008","","  R"," DD"," 21"," 1"," 1"
"       46290","Base Linen Look Black 1.5mx2.25m","       46290","LAD",2,1,0.500,0.083,0.003,0.009790,12,2,234.000,"","",5,5,"KD","008","","  R"," DD"," 21"," 2"," 3"
"       46291","Base Linen Look Black 1.5mx2.65m","       46291","LAD",1,2,2.000,0.167,0.007,0.008310,12,1,141.000,"","",5,5,"KD","008","","  R"," DD"," 21"," 2"," 2"
"       46291","Base Linen Look Black 1.5mx2.65m","       46291","LAD",1,1,1.000,0.083,0.003,0.003260,12,1,141.000,"","",5,5,"KD","008","","  R"," HH"," 39"," 5"," 5"
"       46292","Base Linen Look Black 1.5mx3m Tab","       46292","LAD",1,2,2.000,0.167,0.007,0.009190,12,1,275.000,"","",5,5,"KD","008","","  R"," DD"," 21"," 2"," 1"
"       46297","Base Linen Look Navy 1.5mx2.65m T","       46297","LAD",1,2,2.000,0.167,0.007,0.008310,12,1,102.000,"","",5,5,"KD","008","","  R"," DD"," 21"," 3"," 2"
"       46298","Base Linen Look Navy 1.5mx3m Tabl","       46298","LAD",1,2,2.000,0.167,0.007,0.009190,12,1,199.000,"","",5,5,"KD","008","","  R"," DD"," 21"," 3"," 1"
"       46508","Watercolour Floral Black 1.5mx2.2","       46508","LAD",1,4,4.000,0.333,0.013,0.012670,12,1,0.000,"","",5,5,"KD","008","","  R"," DD"," 29"," 3"," 5"
"       46508","Watercolour Floral Black 1.5mx2.2","       46508","LAD",1,1,1.000,0.083,0.003,0.003170,12,1,0.000,"","",5,5,"KD","008","","  R"," HH"," 48"," 1"," 8"
"       46511","Watercolour Floral Red 1.5mx2.25m","       46511","LAD",1,8,8.000,0.667,0.027,0.025340,12,1,0.000,"","",5,5,"KD","008","","  R"," DD"," 29"," 2"," 6"
"       48040","Butcher Stripe Series II Black Ap","       48040","LAD",16,4,0.364,0.067,0.003,0.141750,60,11,448.000,"","",5,5,"KD","007","","  R"," EE"," 33"," 1"," 1"
"       48041","Butcher Stripe Series II Red 2pk","       48041","LAD",3,6,2.000,0.100,0.004,0.023520,60,3,137.000,"","",5,5,"KD","007","","  R"," EE"," 23"," 3"," 6"
"       48043","BUTCHER STRIPE SERIES II RED DOUB","       48043","LAD",1,6,6.000,0.100,0.004,0.016540,60,1,0.000,"","",5,5,"KD","007","","  R"," FF"," 21"," 2"," 2"
"       48047","Butcher Stripe Series II Navy Dou","       48047","LAD",2,6,3.000,0.100,0.004,0.022680,60,2,0.000,"","",5,5,"KD","007","","  R"," FF"," 33"," 1"," 3"
"       48274","Eco Recycled Charcoal 2pk Pot Hol","       48274","LAD",7,6,1.200,0.100,0.004,0.031500,60,5,520.000,"","",5,5,"KD","007","","  R"," FF"," 33"," 3"," 1"
"       48275","ECO RECYCLED CHARCOAL 2PK OVEN MI","       48275","LAD",11,6,0.750,0.125,0.005,0.156710,48,8,512.000,"","",5,5,"KD","007","","  R"," FF"," 23"," 2"," 2"
"       48276","Eco Recycled Charcoal Double Oven","       48276","LAD",14,6,0.600,0.125,0.005,0.155400,48,10,313.000,"","",5,5,"KD","007","","  R"," FF"," 23"," 1"," 2"
"       48277","ECO RECYCLED CHARCOAL APRON","       48277","LAD",57,12,0.706,0.250,0.010,0.327240,48,17,443.000,"","",5,5,"KD","007","","  R"," FF"," 33"," 3"," 3"
"       48277","ECO RECYCLED CHARCOAL APRON","       48277","LAD",2,1,1.000,0.021,0.001,0.052560,48,1,443.000,"","",5,5,"KD","007","","  R"," OO"," 28"," D"," 1"
"       48277","ECO RECYCLED CHARCOAL APRON","       48277","LAD",1,1,1.000,0.021,0.001,0.001080,48,1,443.000,"","",5,5,"KD","007","","  R"," HH"," 37"," 4"," 1"
"       48512","Eco Recycled Navy 2pk Oven Mitt","       48512","LAD",2,6,3.000,0.125,0.005,0.026120,48,2,147.000,"","",6,4,"KD","007","","  R"," EE"," 31"," 1"," 3"
"       48513","Eco Recycled Navy Double Oven Mit","       48513","LAD",3,6,2.000,0.125,0.005,0.033300,48,3,103.000,"","",6,4,"KD","007","","  R"," FF"," 32"," 4"," 1"
"       48513","Eco Recycled Navy Double Oven Mit","       48513","LAD",1,1,1.000,0.021,0.001,0.001080,48,1,103.000,"","",6,4,"KD","007","","  R"," HH"," 40"," 1"," 8"
"       48514","Eco Recycled Navy Apron","       48514","LAD",13,8,0.727,0.167,0.007,0.065520,48,11,199.000,"","",6,4,"KD","007","","  R"," DD"," 33"," 1"," 3"
"       48515","Eco Recycled Natural 2pk Pot Hold","       48515","LAD",2,6,3.000,0.100,0.004,0.009000,60,2,951.000,"","",6,4,"KD","007","","  R"," EE"," 34"," 2"," 4"
"       48516","Eco Recycled Natural 2pk Oven Mit","       48516","LAD",11,6,0.857,0.125,0.005,0.121900,48,7,581.000,"","",6,4,"KD","007","","  R"," EE"," 34"," 1"," 4"
"       48516","Eco Recycled Natural 2pk Oven Mit","       48516","LAD",2,1,0.500,0.021,0.001,0.004360,48,2,581.000,"","",6,4,"KD","007","","  R"," HH"," 45"," 5","20"
"       48517","Eco Recycled Natural Double Oven","       48517","LAD",7,6,1.000,0.125,0.005,0.077700,48,6,740.000,"","",6,4,"KD","007","","  R"," DD"," 31"," 1"," 2"
"       48518","Eco Recycled Natural Apron","       48518","LAD",9,4,0.571,0.083,0.003,0.024120,48,7,370.000,"","",6,4,"KD","007","","  R"," DD"," 29"," 1"," 2"
