item,des,externalid,owner,hits,units,aveunitday,cases,pallets,cube,unitpcase,dayshit,physqty,contnum,familycode,ti,hi,majgroup,mingroup,catagory,loccode,aisle,bay,level,position
"       62775","HOMESTEAD GUM LEAF 24CM SQUARE BA","","LAD",23,4,0.364,0.500,0.021,0.519310,8,11,98.000,"","",6,4,"","","","  R"," FF"," 38"," 1"," 3"
"       62776","HOMESTEAD GUM LEAF 28CM RECTANGLE","","LAD",24,4,0.364,0.500,0.021,0.519940,8,11,97.000,"","",6,4,"","","","  R"," FF"," 39"," 1"," 4"
"       62778","HOMESTEAD GUM LEAF 22CM SERVING B","","LAD",18,4,0.364,0.500,0.021,0.504420,8,11,32.000,"","",6,4,"","","","  R"," FF"," 39"," 2"," 6"
"       62780","HOMESTEAD GUM LEAF 4PCE MUG SET","","LAD",20,4,0.364,0.500,0.021,0.390400,8,11,319.000,"","",6,4,"","","","  R"," FF"," 39"," 2"," 7"
"       62781","CAFE KORA EARTHEN TUMBLER","","LAD",4,8,2.000,0.500,0.021,0.031120,16,4,464.000,"","",6,4,"","","","  R"," EE"," 42"," 3"," 5"
"       62782","CAFE KORA BLACK TUMBLER","","LAD",2,8,4.000,0.500,0.021,0.015560,16,2,536.000,"","",6,4,"","","","  R"," EE"," 42"," 4"," 1"
"       62783","CAFE KORA COBALT TUMBLER","","LAD",1,8,8.000,0.500,0.021,0.007780,16,1,624.000,"","",6,4,"","","","  R"," EE"," 42"," 4"," 2"
"       62784","CAFE KORA CREAM TUMBLER","","LAD",2,8,4.000,0.500,0.021,0.015560,16,2,560.000,"","",6,4,"","","","  R"," EE"," 43"," 1"," 2"
"       62785","CAFE KORA BISCUIT TUMBLER","","LAD",3,8,2.667,0.500,0.021,0.023340,16,3,576.000,"","",6,4,"","","","  R"," EE"," 43"," 1"," 4"
"       62786","CAFE KORA PETROL TUMBLER","","LAD",1,8,8.000,0.500,0.021,0.007780,16,1,632.000,"","",6,4,"","","","  R"," EE"," 43"," 1"," 6"
"       62790","REACTIVE EGGSHELL MICROWAVE MUG","","LAD",3,6,3.000,0.500,0.021,0.036570,12,2,11.000,"","",6,4,"","","","  R"," DD"," 26"," 4"," 4"
"       62791","REACTIVE OCHRE MICROWAVE MUG","","LAD",7,6,1.500,0.500,0.021,0.085330,12,4,11.000,"","",6,4,"","","","  R"," DD"," 26"," 4"," 5"
"       62792","REACTIVE GREY MICROWAVE MUG","","LAD",2,6,3.000,0.500,0.021,0.024380,12,2,5.000,"","",6,4,"","","","  R"," DD"," 28"," 1"," 2"
"       62793","REACTIVE CHARCOAL MICROWAVE MUG","","LAD",7,6,1.200,0.500,0.021,0.085330,12,5,54.000,"","",6,4,"","","","  R"," DD"," 27"," 1"," 3"
"       62794","REACTIVE EGGSHELL MUG","","LAD",5,8,2.000,0.333,0.014,0.046300,24,4,303.000,"","",6,4,"","","","  R"," DD"," 27"," 1"," 6"
"       62795","REACTIVE OCHRE MUG","","LAD",4,8,2.000,0.333,0.014,0.037040,24,4,352.000,"","",6,4,"","","","  R"," DD"," 27"," 2"," 6"
"       62796","REACTIVE GREY MUG","","LAD",3,8,2.667,0.333,0.014,0.027780,24,3,280.000,"","",6,4,"","","","  R"," DD"," 27"," 3"," 2"
"       62797","REACTIVE CHARCOAL MUG","","LAD",1,8,8.000,0.333,0.014,0.009260,24,1,464.000,"","",6,4,"","","","  R"," DD"," 27"," 3"," 4"
"       62799","LINEAR PINK O MUG","","LAD",2,8,4.000,0.333,0.014,0.011860,24,2,375.000,"","",6,4,"","","","  R"," EE"," 43"," 2"," 4"
"       62800","LINEAR BLACK O MUG","","LAD",3,8,2.667,0.333,0.014,0.022440,24,3,383.000,"","",6,4,"","","","  R"," EE"," 43"," 2"," 5"
"       62801","LINEAR WHITE O MUG","","LAD",7,8,1.143,0.333,0.014,0.059470,24,7,332.000,"","",6,4,"","","","  R"," EE"," 43"," 4"," 6"
"       62802","LINEAR ETCHED CLEAR GLASS TUMBLER","","LAD",10,8,1.143,0.333,0.014,0.103940,24,7,592.000,"","",6,4,"","","","  R"," CC"," 26"," 1"," 5"
"       62803","LINEAR ETCHED CLEAR HIGHBALL TUMB","","LAD",7,8,1.143,0.333,0.014,0.085770,24,7,664.000,"","",6,4,"","","","  R"," CC"," 28"," 1"," 6"
"       62804","LINEAR ETCHED CLEAR JUG","","LAD",14,2,0.222,0.125,0.005,0.156060,16,9,478.000,"","",6,4,"","","","  R"," CC"," 26"," 1"," 4"
"       62805","LINEAR ETCHED BLUE GLASS TUMBLER","","LAD",14,16,1.600,0.667,0.028,0.147250,24,10,480.000,"","",6,4,"","","","  R"," FF"," 47"," 3"," 5"
"       62806","LINEAR ETCHED BLUE HIGHBALL TUMBL","","LAD",12,8,0.889,0.333,0.014,0.133420,24,9,472.000,"","",6,4,"","","","  R"," FF"," 47"," 2"," 6"
"       62807","LINEAR ETCHED BLUE JUG","","LAD",15,2,0.167,0.125,0.005,0.178140,16,12,450.000,"","",6,4,"","","","  R"," FF"," 47"," 2"," 3"
"       62808","LINEAR ETCHED GREEN GLASS TUMBLER","","LAD",11,8,1.333,0.333,0.014,0.112600,24,6,496.000,"","",6,4,"","","","  R"," CC"," 38"," 2"," 6"
"       62809","LINEAR ETCHED GREEN HIGHBALL TUMB","","LAD",11,8,1.143,0.333,0.014,0.123890,24,7,568.000,"","",6,4,"","","","  R"," CC"," 38"," 3"," 5"
"       62810","LINEAR ETCHED GREEN JUG","","LAD",16,2,0.200,0.125,0.005,0.195960,16,10,430.000,"","",6,4,"","","","  R"," CC"," 26"," 1"," 3"
"       62811","LINEAR ETCHED CHARCOAL GLASS TUMB","","LAD",16,8,0.667,0.333,0.014,0.155900,24,12,460.000,"","",6,4,"","","","  R"," CC"," 42"," 3"," 6"
"       62812","LINEAR ETCHED CHARCOAL HIGHBALL T","","LAD",12,8,0.727,0.333,0.014,0.133420,24,11,568.000,"","",6,4,"","","","  R"," CC"," 26"," 1"," 6"
"       62813","LINEAR ETCHED CHARCOAL JUG","","LAD",16,2,0.154,0.125,0.005,0.208080,16,13,435.000,"","",6,4,"","","","  R"," CC"," 40"," 3"," 1"
"       62814","LINEAR RIBBED TALL 4PCE BOWL AND","","LAD",17,1,0.143,0.042,0.002,0.275570,24,7,20.000,"","",6,4,"","","","  R"," FF"," 22"," 3"," 6"
"       62815","LINEAR RIBBED SHORT 4PCE BOWL AND","","LAD",15,4,0.364,0.167,0.007,0.117030,24,11,147.000,"","",6,4,"","","","  R"," FF"," 23"," 1"," 8"
"       62816","LINEAR RIBBED 11CM 3PCE BOWL SET","","LAD",11,4,0.571,0.500,0.021,0.229620,8,7,149.000,"","",6,4,"","","","  R"," CC"," 26"," 1"," 2"
"       62816","LINEAR RIBBED 11CM 3PCE BOWL SET","","LAD",2,1,1.000,0.125,0.005,0.012000,8,1,149.000,"","",6,4,"","","","  R"," LL"," 39"," D"," 2"
"       62816","LINEAR RIBBED 11CM 3PCE BOWL SET","","LAD",1,1,1.000,0.125,0.005,0.006000,8,1,149.000,"","",6,4,"","","","  R"," LL"," 39"," B"," 1"
"       62817","LINEAR RIBBED 16CM 2PCE BOWL SET","","LAD",10,4,0.667,0.500,0.021,0.231180,8,6,189.000,"","",6,4,"","","","  R"," CC"," 26"," 1"," 1"
"       62818","LINEAR RIBBED WHITE TUMBLER","","LAD",2,4,4.000,0.111,0.005,0.013120,36,1,352.000,"","",6,4,"","","","  R"," CC"," 21"," 2"," 3"
"       62819","LINEAR RIBBED CHARCOAL TUMBLER","","LAD",4,8,2.000,0.222,0.009,0.030620,36,4,360.000,"","",6,4,"","","","  R"," FF"," 23"," 1"," 9"
"       62820","LINEAR RIBBED BLUE TUMBLER","","LAD",3,4,2.000,0.111,0.005,0.021870,36,2,328.000,"","",6,4,"","","","  R"," CC"," 21"," 2"," 6"
"       62821","LINEAR RIBBED WHITE 10CM CANISTER","","LAD",2,4,2.000,0.167,0.007,0.020160,24,2,208.000,"","",6,4,"","","","  R"," CC"," 21"," 3"," 1"
"       62822","LINEAR RIBBED CHARCOAL 10CM CANIS","","LAD",9,4,0.500,0.167,0.007,0.090720,24,8,304.000,"","",6,4,"","","","  R"," FF"," 24"," 1"," 2"
"       62823","LINEAR RIBBED BLUE 10CM CANISTER","","LAD",4,4,1.000,0.167,0.007,0.040320,24,4,216.000,"","",6,4,"","","","  R"," CC"," 21"," 3"," 2"
"       62824","LINEAR RIBBED WHITE 13CM CANISTER","","LAD",11,8,0.889,0.500,0.021,0.209300,16,9,180.000,"","",6,4,"","","","  R"," FF"," 24"," 1"," 3"
"       62825","LINEAR RIBBED CHARCOAL 13CM CANIS","","LAD",14,1,0.111,0.063,0.003,0.243340,16,9,151.000,"","",6,4,"","","","  R"," FF"," 24"," 1"," 4"
"       62826","LINEAR RIBBED BLUE 13CM CANISTER","","LAD",8,1,0.167,0.063,0.003,0.130640,16,6,179.000,"","",6,4,"","","","  R"," FF"," 25"," 1"," 3"
"       62827","LINEAR RIBBED WHITE ROUND PLATTER","","LAD",3,1,0.500,0.083,0.003,0.005850,12,2,190.000,"","",6,4,"","","","  R"," HH"," 43"," 3"," 5"
"       62827","LINEAR RIBBED WHITE ROUND PLATTER","","LAD",8,3,0.500,0.250,0.010,0.157180,12,6,190.000,"","",6,4,"","","","  R"," CC"," 21"," 3"," 3"
"       62827","LINEAR RIBBED WHITE ROUND PLATTER","","LAD",2,2,2.000,0.167,0.007,0.005850,12,1,190.000,"","",6,4,"","","","  R"," GG"," 14"," B"," 1"
"       62827","LINEAR RIBBED WHITE ROUND PLATTER","","LAD",1,1,1.000,0.083,0.003,0.001950,12,1,190.000,"","",6,4,"","","","  R"," C0","  1"," A","13"
"       62828","LINEAR RIBBED BLUE ROUND PLATTER","","LAD",10,3,0.375,0.250,0.010,0.230890,12,8,191.000,"","",6,4,"","","","  R"," CC"," 21"," 3"," 4"
"       62828","LINEAR RIBBED BLUE ROUND PLATTER","","LAD",2,1,0.500,0.083,0.003,0.003900,12,2,191.000,"","",6,4,"","","","  R"," LL","  9"," B"," 2"
"       62829","LINEAR RIBBED WHITE SALAD BOWL","","LAD",3,6,2.000,0.667,0.028,0.091770,9,3,3.000,"","",6,4,"","","","  R"," CC"," 21"," 3"," 5"
"       62830","LINEAR RIBBED CHARCOAL SALAD BOWL","","LAD",15,3,0.333,0.333,0.014,0.277410,9,9,73.000,"","",6,4,"","","","  R"," CC"," 21"," 3"," 6"
"       62830","LINEAR RIBBED CHARCOAL SALAD BOWL","","LAD",2,1,0.500,0.111,0.005,0.007160,9,2,73.000,"","",6,4,"","","","  R"," FF"," 10"," B"," 1"
"       62830","LINEAR RIBBED CHARCOAL SALAD BOWL","","LAD",2,1,1.000,0.111,0.005,0.007160,9,1,73.000,"","",6,4,"","","","  R"," EE","  9"," B"," 2"
"       62830","LINEAR RIBBED CHARCOAL SALAD BOWL","","LAD",1,2,2.000,0.222,0.009,0.007150,9,1,73.000,"","",6,4,"","","","  R"," EE","  8"," D"," 2"
"       62831","LINEAR TEXTURE WHITE PADDLE SERVE","","LAD",12,4,0.667,0.500,0.021,0.247680,8,6,36.000,"","",6,4,"","","","  R"," EE"," 44"," 1"," 2"
"       62832","LINEAR TEXTURE BLACK PADDLE SERVE","","LAD",11,4,1.333,0.500,0.021,0.227040,8,3,62.000,"","",6,4,"","","","  R"," EE"," 44"," 1"," 3"
"       62833","LINEAR TEXTURE LARGE WHITE BOWL S","","LAD",6,4,1.000,0.500,0.021,0.163740,8,4,278.000,"","",6,4,"","","","  R"," EE"," 44"," 1"," 4"
"       62834","LINEAR TEXTURE LARGE BLACK BOWL S","","LAD",5,4,1.333,0.500,0.021,0.184650,8,3,298.000,"","",6,4,"","","","  R"," EE"," 44"," 2"," 1"
"       62835","LINEAR TEXTURE MEDIUM WHITE BOWL","","LAD",18,4,1.000,0.250,0.010,0.507270,16,4,112.000,"","",6,4,"","","","  R"," EE"," 44"," 2"," 4"
"       62836","LINEAR TEXTURE MEDIUM BLACK BOWL","","LAD",10,4,0.667,0.250,0.010,0.261430,16,6,229.000,"","",6,4,"","","","  R"," EE"," 44"," 2"," 6"
"       62837","LINEAR TEXTURE SMALL WHITE BOWL S","","LAD",15,6,1.200,0.250,0.010,0.361110,24,5,125.000,"","",6,4,"","","","  R"," EE"," 44"," 3"," 1"
"       62838","LINEAR TEXTURE SMALL BLACK BOWL S","","LAD",7,6,1.500,0.250,0.010,0.163850,24,4,274.000,"","",6,4,"","","","  R"," EE"," 44"," 3"," 2"
"       62839","LINEAR TEXTURE WHITE PLATTER","","LAD",15,4,0.500,0.500,0.021,0.255750,8,8,120.000,"","",6,4,"","","","  R"," EE"," 44"," 3"," 4"
"       62840","LINEAR TEXTURE BLACK PLATTER","","LAD",17,4,0.444,0.500,0.021,0.289850,8,9,99.000,"","",6,4,"","","","  R"," EE"," 44"," 4"," 1"
"       62843","PANTRY BASICS NARROW 250ML CANIST","","LAD",10,1,0.167,0.021,0.001,0.020570,48,6,850.000,"","",6,4,"","","","  R"," FF"," 41"," 1"," 2"
"       62844","PANTRY BASICS NARROW 400ML CANIST","","LAD",10,1,0.167,0.021,0.001,0.026620,48,6,858.000,"","",6,4,"","","","  R"," FF"," 41"," 1"," 5"
"       62848","PANTRY BASICS 650ML CANISTER","","LAD",15,1,0.111,0.031,0.001,0.087330,32,9,844.000,"","",6,4,"","","","  R"," FF"," 41"," 1"," 7"
"       62849","PANTRY BASICS 1150ML CANISTER","","LAD",13,1,0.125,0.031,0.001,0.109250,32,8,846.000,"","",6,4,"","","","  R"," FF"," 41"," 1"," 8"
"       62850","PANTRY BASICS 1550ML CANISTER","","LAD",13,1,0.125,0.063,0.003,0.141790,16,8,852.000,"","",6,4,"","","","  R"," FF"," 41"," 1"," 9"
"       62854","ECO SIPS EARTH STRAIGHT 4PK STRAW","","LAD",1,6,6.000,0.125,0.005,0.003920,48,1,666.000,"","",6,4,"","","","  R"," FF"," 40"," 2"," 1"
"       62855","ECO SIPS EARTH BENT 4PK STRAWS","","LAD",6,6,1.500,0.125,0.005,0.023520,48,4,623.000,"","",6,4,"","","","  R"," FF"," 40"," 4"," 1"
"       62856","ECO SIPS SKY STRAIGHT 4PK STRAWS","","LAD",1,1,1.000,0.021,0.001,0.000470,48,1,665.000,"","",6,4,"","","","  R"," FF"," 40"," 4"," 2"
"       62857","ECO SIPS SKY BENT 4PK STRAWS","","LAD",6,6,2.000,0.125,0.005,0.023520,48,3,636.000,"","",6,4,"","","","  R"," FF"," 40"," 4"," 4"
"       62866","LAWSON STAINLESS STEEL COFFEE SPO","","LAD",1,6,6.000,0.125,0.005,0.001840,48,1,388.000,"","",6,4,"","","","  R"," EE"," 38"," 1"," 2"
"       62867","LAWSON GOLD COFFEE SPOON CLIP","","LAD",4,6,1.500,0.125,0.005,0.007480,48,4,389.000,"","",6,4,"","","","  R"," EE"," 39"," 3"," 1"
"       62868","LAWSON COPPER COFFEE SPOON CLIP","","LAD",7,6,1.200,0.125,0.005,0.014720,48,5,365.000,"","",6,4,"","","","  R"," EE"," 39"," 3"," 3"
"       62872","STORE WHITE 9CM CANISTER","","LAD",10,8,1.333,0.250,0.010,0.092900,32,6,267.000,"","",6,4,"","","","  R"," CC"," 21"," 4"," 4"
"       62873","STORE WHITE 13CM CANISTER","","LAD",4,8,2.000,0.667,0.028,0.118020,12,4,320.000,"","",6,4,"","","","  R"," FF"," 25"," 2"," 2"
"       62874","STORE WHITE 16CM CANISTER","","LAD",2,4,2.000,0.500,0.021,0.056680,8,2,340.000,"","",6,4,"","","","  R"," FF"," 25"," 2"," 4"
"       62875","STORE BLACK 9CM CANISTER","","LAD",4,8,2.000,0.250,0.010,0.029090,32,4,339.000,"","",6,4,"","","","  R"," CC"," 21"," 4"," 5"
"       62876","STORE BLACK 13CM CANISTER","","LAD",4,8,2.667,0.667,0.028,0.084300,12,3,368.000,"","",6,4,"","","","  R"," FF"," 26"," 1"," 6"
"       62877","STORE BLACK 16CM CANISTER","","LAD",2,4,2.000,0.500,0.021,0.055880,8,2,364.000,"","",6,4,"","","","  R"," FF"," 26"," 2"," 7"
"       62878","STORE NAVY 9CM CANISTER","","LAD",1,1,1.000,0.031,0.001,0.000730,32,1,371.000,"","",6,4,"","","","  R"," CC"," 21"," 4"," 6"
"       62881","STORE GREY 9CM CANISTER","","LAD",4,8,2.667,0.250,0.010,0.029090,32,3,343.000,"","",6,4,"","","","  R"," CC"," 22"," 1"," 2"
"       62882","STORE GREY 13CM CANISTER","","LAD",3,8,4.000,0.667,0.028,0.067440,12,2,376.000,"","",6,4,"","","","  R"," FF"," 27"," 2"," 8"
"       62884","STORE GUM LEAF 9CM CANISTER","","LAD",4,1,0.250,0.031,0.001,0.015640,32,4,318.000,"","",6,4,"","","","  R"," CC"," 22"," 1"," 3"
"       62885","STORE GUM LEAF 13CM CANISTER","","LAD",2,4,2.000,0.333,0.014,0.033720,12,2,328.000,"","",6,4,"","","","  R"," FF"," 28"," 1"," 8"
"       62886","STORE GUM LEAF 16CM CANISTER","","LAD",1,4,4.000,0.500,0.021,0.027940,8,1,304.000,"","",6,4,"","","","  R"," FF"," 28"," 1"," 9"
"       62886","STORE GUM LEAF 16CM CANISTER","","LAD",1,4,4.000,0.500,0.021,0.027940,8,1,304.000,"","",6,4,"","","","  R"," FF"," 43"," 1"," 3"
"       62887","STORE TERRACOTTA 9CM CANISTER","","LAD",2,1,0.500,0.031,0.001,0.001460,32,2,286.000,"","",6,4,"","","","  R"," CC"," 22"," 1"," 4"
"       62890","LINEAR RIBBED WHITE SPOON REST","","LAD",4,8,4.000,0.333,0.014,0.071660,24,2,8.000,"","",6,4,"","","","  R"," CC"," 21"," 4"," 1"
"       62890","LINEAR RIBBED WHITE SPOON REST","","LAD",1,4,4.000,0.167,0.007,0.002840,24,1,8.000,"","",6,4,"","","","  R"," FF"," 18"," C"," 2"
"       62891","LINEAR RIBBED CHARCOAL SPOON REST","","LAD",7,8,2.000,0.333,0.014,0.160580,24,4,40.000,"","",6,4,"","","","  R"," CC"," 21"," 4"," 2"
"       62892","LINEAR RIBBED BLUE SPOON REST","","LAD",4,1,0.333,0.042,0.002,0.069530,24,3,101.000,"","",6,4,"","","","  R"," CC"," 21"," 4"," 3"
"       62892","LINEAR RIBBED BLUE SPOON REST","","LAD",1,2,2.000,0.083,0.003,0.001420,24,1,101.000,"","",6,4,"","","","  R"," EE"," 16"," D"," 2"
"       62893","ENTERTAINER WHITE 2 BOWL SET","","LAD",13,4,0.500,0.167,0.007,0.079060,24,8,140.000,"","",6,4,"","","","  R"," FF"," 28"," 3"," 8"
"       62894","ENTERTAINER WHITE 3 BOWL SET","","LAD",17,4,0.364,0.250,0.010,0.161490,16,11,207.000,"","",6,4,"","","","  R"," FF"," 28"," 3"," 9"
"       62895","ENTERTAINER WHITE 4 BOWL SET","","LAD",9,4,0.800,0.333,0.014,0.091530,12,5,131.000,"","",6,4,"","","","  R"," FF"," 29"," 1"," 1"
"       62896","ENTERTAINER WHITE OBLONG 4 BOWL S","","LAD",19,4,0.444,0.500,0.021,0.270140,8,9,74.000,"","",6,4,"","","","  R"," FF"," 30"," 1"," 2"
"       62897","ENTERTAINER WHITE 6 BOWL SET","","LAD",11,4,0.571,0.500,0.021,0.163240,8,7,184.000,"","",6,4,"","","","  R"," FF"," 30"," 1"," 6"
"       62899","CAFE DEEP OCEAN MUG","","LAD",10,8,1.143,0.500,0.021,0.073690,16,7,124.000,"","",6,4,"","","","  R"," EE"," 46"," 1"," 5"
"       62900","CAFE DESERT SAND MUG","","LAD",10,8,1.600,0.500,0.021,0.097500,16,5,272.000,"","",6,4,"","","","  R"," EE"," 46"," 1"," 6"
"       62901","CAFE TEXTURED BLACK MUG","","LAD",15,8,1.143,0.500,0.021,0.139220,16,7,26.000,"","",6,4,"","","","  R"," EE"," 46"," 3"," 1"
"       62902","CAFE TEXTURED WHITE MUG","","LAD",8,8,1.600,0.500,0.021,0.069610,16,5,311.000,"","",6,4,"","","","  R"," EE"," 46"," 3"," 2"
"       62903","CAFE OMBRE GREY MUG","","LAD",13,8,1.000,0.500,0.021,0.118360,16,8,55.000,"","",6,4,"","","","  R"," EE"," 46"," 3"," 6"
"       62904","CAFE OMBRE PINK MUG","","LAD",8,8,1.333,0.500,0.021,0.069610,16,6,287.000,"","",6,4,"","","","  R"," EE"," 48"," 1"," 1"
"       62905","CAFE ORANGE SPLICE MUG","","LAD",5,8,2.667,0.500,0.021,0.048750,16,3,464.000,"","",6,4,"","","","  R"," EE"," 48"," 1"," 4"
"       62906","CAFE BLUE SPLICE MUG","","LAD",5,8,2.667,0.500,0.021,0.048750,16,3,408.000,"","",6,4,"","","","  R"," EE"," 48"," 2"," 1"
"       62907","CAFE GRANITE MUG","","LAD",6,8,2.000,0.500,0.021,0.058500,16,4,280.000,"","",6,4,"","","","  R"," EE"," 48"," 2"," 4"
"       62908","CAFE WHITE SAND MUG","","LAD",8,8,1.333,0.500,0.021,0.082880,16,6,188.000,"","",6,4,"","","","  R"," EE"," 48"," 2"," 5"
"       62909","CAFE OMBRE BLACK MUG","","LAD",8,8,1.600,0.500,0.021,0.078000,16,5,64.000,"","",6,4,"","","","  R"," EE"," 48"," 3"," 1"
"       62910","CAFE OMBRE GREEN MUG","","LAD",9,8,1.143,0.500,0.021,0.087750,16,7,32.000,"","",6,4,"","","","  R"," EE"," 48"," 3"," 3"
"       62914","ENTERTAINER NAVY 2 BOWL SET","","LAD",8,4,0.667,0.167,0.007,0.053860,24,6,247.000,"","",6,4,"","","","  R"," FF"," 30"," 2"," 9"
"       62915","ENTERTAINER NAVY 3 BOWL SET","","LAD",12,4,0.500,0.250,0.010,0.107250,16,8,314.000,"","",6,4,"","","","  R"," FF"," 30"," 3"," 4"
"       62916","ENTERTAINER NAVY 4 BOWL SET","","LAD",6,4,0.667,0.333,0.014,0.045120,12,6,306.000,"","",6,4,"","","","  R"," FF"," 30"," 3"," 6"
"       62917","ENTERTAINER NAVY OBLONG 4 BOWL SE","","LAD",15,4,0.400,0.500,0.021,0.179540,8,10,236.000,"","",6,4,"","","","  R"," FF"," 31"," 1"," 4"
"       62918","ENTERTAINER NAVY 6 BOWL SET","","LAD",5,4,1.000,0.500,0.021,0.062650,8,4,355.000,"","",6,4,"","","","  R"," FF"," 31"," 2"," 2"
"       63884","Loma Taupe Placemat","       63884","LAD",2,24,12.000,0.500,0.020,0.037800,48,2,152.000,"","",5,5,"KD","008","","  R"," DD"," 41"," 4"," 5"
"       63884","Loma Taupe Placemat","       63884","LAD",1,2,2.000,0.042,0.002,0.002800,48,1,152.000,"","",5,5,"KD","008","","  R"," HH"," 37"," 4","20"
"       69024","Como Stone Draught Excluder","       69024","LAD",3,4,2.000,0.500,0.020,0.057960,8,2,178.000,"","",5,5,"KD","060","","  R"," FF"," 10"," 1"," 1"
"       69116","Grown Green Leaf Door Stop","       69116","LAD",1,2,2.000,0.250,0.010,0.003900,8,1,30.000,"","",6,4,"KD","060","","  R"," HH"," 44"," 1","10"
"       69117","Grown Green Leaf Draught Excluder","       69117","LAD",1,4,4.000,0.500,0.021,0.019320,8,1,1.000,"","",6,4,"KD","060","","  R"," EE"," 17"," 1"," 1"
"       69134","REPOSE FLORAL GUM LEAF DOOR STOP","","LAD",11,4,0.400,0.500,0.021,0.073560,8,10,75.000,"","",6,4,"","","","  R"," FF","  8"," 1"," 2"
"       69135","REPOSE FLORAL TAUPE DOOR STOP","","LAD",13,4,0.400,0.500,0.021,0.087960,8,10,35.000,"","",6,4,"","","","  R"," FF","  5"," 1"," 2"
"       69136","REPOSE FLORAL NAVY DOOR STOP","","LAD",17,4,0.308,0.500,0.021,0.116760,8,13,111.000,"","",6,4,"","","","  R"," FF","  8"," 1"," 1"
"       69136","REPOSE FLORAL NAVY DOOR STOP","","LAD",1,4,4.000,0.500,0.021,0.007200,8,1,111.000,"","",6,4,"","","","  R"," NN"," 35"," A"," 2"
"       69137","REPOSE FLORAL GUM LEAF DRAUGHT EX","","LAD",13,4,0.333,0.500,0.021,0.092300,8,12,68.000,"","",6,4,"","","","  R"," FF"," 10"," 1"," 2"
"       69138","REPOSE FLORAL TAUPE DRAUGHT EXCLU","","LAD",11,4,0.444,0.500,0.021,0.076680,8,9,56.000,"","",6,4,"","","","  R"," FF"," 12"," 1"," 1"
"       69138","REPOSE FLORAL TAUPE DRAUGHT EXCLU","","LAD",1,2,2.000,0.250,0.010,0.011350,8,1,56.000,"","",6,4,"","","","  R"," RR"," 33"," A"," 2"
"       69138","REPOSE FLORAL TAUPE DRAUGHT EXCLU","","LAD",1,4,4.000,0.500,0.021,0.007100,8,1,56.000,"","",6,4,"","","","  R"," EE"," 12"," 1"," 1"
"       69139","REPOSE FLORAL NAVY DRAUGHT EXCLUD","","LAD",13,4,0.364,0.500,0.021,0.092300,8,11,144.000,"","",6,4,"","","","  R"," FF","  5"," 1"," 1"
"       69144","PROF. SERIES III PLAIN BLACK DOOR","","LAD",8,4,0.667,0.500,0.021,0.049440,8,6,376.000,"","",6,4,"","","","  R"," FF"," 11"," 1"," 2"
"       69145","PROF. SERIES III PLAIN BLACK DRAU","","LAD",6,4,1.000,0.500,0.021,0.042600,8,4,298.000,"","",6,4,"","","","  R"," EE"," 10"," 1"," 1"
"       69145","PROF. SERIES III PLAIN BLACK DRAU","","LAD",1,2,2.000,0.250,0.010,0.011350,8,1,298.000,"","",6,4,"","","","  R"," MM","  9"," A"," 1"
"       69146","PROF. SERIES III PLAIN GREY DOOR","","LAD",5,4,1.000,0.500,0.021,0.036000,8,4,406.000,"","",6,4,"","","","  R"," FF"," 14"," 1"," 1"
"       69147","PROF. SERIES III PLAIN GREY DRAUG","","LAD",5,4,1.000,0.500,0.021,0.035500,8,4,332.000,"","",6,4,"","","","  R"," EE"," 10"," 1"," 2"
"       69148","PROF. SERIES III PLAIN RED DOOR S","","LAD",1,4,4.000,0.500,0.021,0.007200,8,1,467.000,"","",6,4,"","","","  R"," FF"," 14"," 1"," 2"
"       69149","PROF. SERIES III PLAIN RED DRAUGH","","LAD",2,4,2.000,0.500,0.021,0.014200,8,2,456.000,"","",6,4,"","","","  R"," EE"," 11"," 1"," 1"
"       69150","PROF. SERIES III PLAIN NAVY DOOR","","LAD",8,4,0.571,0.500,0.021,0.057600,8,7,412.000,"","",6,4,"","","","  R"," FF"," 13"," 1"," 1"
"       69151","PROF. SERIES III PLAIN NAVY DRAUG","","LAD",6,4,1.333,0.500,0.021,0.042600,8,3,364.000,"","",6,4,"","","","  R"," EE"," 12"," 1"," 1"
"       72008","Wonderful Printed 1.5mx2.25m Tabl","       72008","LAD",1,1,1.000,0.083,0.003,0.003040,12,1,111.000,"","",6,4,"KD","017","","  R"," HH"," 37"," 2"," 7"
"       72833","Jolly Stripe Multi 2pk Pot Holder","  ZZDEL21916","LAD",1,1,1.000,0.014,0.001,0.000450,72,1,79.000,"","",5,5,"KD","017","","  R"," HH"," 42"," 3","17"
"       72840","Santas Little Helper Kids Chef Se","       72840","LAD",1,1,1.000,0.042,0.002,0.003020,24,1,725.000,"","",6,4,"KD","017","","  R"," HH"," 37"," 4"," 8"
"       73575","Dash Gold Jute Wine Bag","       73575","LAD",1,7,7.000,0.097,0.004,0.006170,72,1,151.000,"","",5,5,"KD","017","","  R"," HH"," 45"," 3","19"
"       73900","Glitz Pillar White/Gold Tree 21cm","       73900","LAD",1,1,1.000,0.042,0.002,0.001940,24,1,48.000,"","",5,5,"KD","059","","  R"," HH"," 37"," 3","12"
"       80056","Classic Square Charcoal Bamboo Tr","       80056","LAD",2,6,3.000,0.167,0.007,0.007220,36,2,6.000,"","",5,5,"KD","050","","  R"," DD"," 25"," 3"," 6"
