"          10","  R"," AA"," 11"," 1"," 2",7,"U",1100,"U",T,F,F,F,0,"",/  /     :  :,T
"       10026","  R"," BB"," 34"," 4"," 6",67,"U",200,"U",T,F,F,F,0,"",/  /     :  :,T
"       11501","  R"," BB"," 33"," 3"," 4",4,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"       13101","  R"," BB"," 33"," 2"," 3",4,"U",36,"U",T,F,F,F,0,"",/  /     :  :,T
"       13105","  R"," BB"," 33"," 3"," 6",4,"U",36,"U",T,F,F,F,0,"",/  /     :  :,T
"       13106","  R"," BB"," 33"," 2"," 2",4,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"       20006","  R"," X0"," 15"," 2"," 3",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       20025","  R"," X0"," 11"," 1"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       20027","  R"," X0","  7"," 1"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       20030","  R"," X0","  9"," 1"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       20049","  R"," X0"," 15"," 1"," 3",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       20050","  R"," X0","  5"," 1"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       20310","  R"," X0"," 17"," 2"," 3",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       20380","  R"," X0"," 17"," 1"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"    22005/04","  R"," EE"," 13"," 1"," 1",6,"U",768,"U",T,F,F,F,0,"",/  /     :  :,T
"    22008/04","  R"," EE","  8"," 1"," 1",12,"U",768,"U",T,F,F,F,0,"",/  /     :  :,T
"       23001","  R"," WW"," 13"," 1"," 1",12,"U",2160,"U",T,F,F,F,0,"",/  /     :  :,T
"       23002","  R"," WW"," 11"," 1"," 1",12,"U",2160,"U",F,T,F,F,0,"",09/03/2020 14:32:24,F
"       23005","  R"," X0"," 21"," 1"," 2",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       23006","  R"," X0"," 21"," 1"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       30493","  R"," BB"," 46"," 1"," 1",12,"U",96,"U",T,F,F,F,0,"",/  /     :  :,T
"    41262/04","  R"," BB"," 29"," 2"," 3",16,"U",45,"U",T,F,F,F,0,"",/  /     :  :,T
"    45980/04","  R"," BB"," 34"," 1"," 1",96,"U",288,"U",T,F,F,F,0,"",/  /     :  :,T
"    45981/04","  R"," BB"," 31"," 1"," 3",12,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    45982/04","  R"," BB"," 30"," 2"," 5",48,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    63462/04","  R"," BB"," 28"," 1"," 6",6,"U",240,"U",T,F,F,F,0,"",/  /     :  :,T
"    63463/04","  R"," BB"," 28"," 2"," 4",3,"U",60,"U",T,F,F,F,0,"",/  /     :  :,T
"       40254","  R"," BB"," 46"," 1"," 4",12,"U",120,"U",T,F,F,F,0,"",/  /     :  :,T
"       40269","  R"," CC"," 26"," 2"," 4",12,"U",120,"U",T,F,F,F,0,"",/  /     :  :,T
"   ZLABELTUN","  R"," M0","  1"," 3"," 1",0,"U",0,"U",T,F,F,F,0,"",/  /     :  :,T
"      ZPKG03","  R"," M0","  1"," 2"," 1",0,"U",0,"U",T,F,F,F,0,"",/  /     :  :,T
"      ZPKG07","  R"," M0","  1"," 1"," 3",0,"U",0,"U",T,F,F,F,0,"",/  /     :  :,T
"       20018","  R"," X0"," 15"," 2"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       10019","  R"," BB"," 45"," 3"," 2",33,"U",100,"U",T,F,F,F,0,"",/  /     :  :,T
"    30423/04","  R"," BB"," 23"," 4"," 3",6,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    30431/04","  R"," BB"," 47"," 2"," 5",6,"U",144,"U",T,F,F,F,0,"",08/17/2020 11:11:06,T
"       22025","  R"," CC"," 26"," 1"," 3",6,"U",96,"U",T,F,F,F,0,"",/  /     :  :,T
"       22026","  R"," BB"," 37"," 3"," 6",6,"U",72,"U",T,F,F,F,0,"",08/05/2020 07:23:49,T
"  20027-3/04","  R"," X0"," 13"," 1"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"   ZLABELWEL","  R"," M0","  1"," 2"," 2",0,"U",0,"U",T,F,F,F,0,"",/  /     :  :,T
"  ZLABELWELF","  R"," M0","  1"," 3"," 3",0,"U",0,"U",T,F,F,F,0,"",/  /     :  :,T
"       22015","  R"," GG"," 16"," 1"," 2",12,"U",288,"U",T,F,F,F,0,"",/  /     :  :,T
"       22016","  R"," FF","  5"," 1"," 1",12,"U",288,"U",T,F,F,F,0,"",/  /     :  :,T
"      990002","  R"," BB"," 30"," 1"," 4",12,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"      990003","  R"," FF"," 44"," 1"," 1",1,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"       22028","  R"," WW","  9"," 1"," 1",12,"U",240,"U",T,F,F,F,0,"",/  /     :  :,T
"    23034/04","  R"," BB"," 29"," 1"," 5",4,"U",12,"U",T,F,F,F,0,"",/  /     :  :,T
"    23038/04","  R"," BB"," 29"," 2"," 2",1,"U",20,"U",T,F,F,F,0,"",09/09/2020 13:28:45,T
"    23051/04","  R"," BB"," 37"," 2"," 6",1,"U",12,"U",T,F,F,F,0,"",/  /     :  :,T
"    41246/04","  R"," BB"," 23"," 4"," 4",96,"U",288,"U",T,F,F,F,0,"",/  /     :  :,T
"    41247/04","  R"," BB"," 29"," 1"," 4",6,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    41248/04","  R"," BB"," 30"," 3"," 1",48,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"   910988/04","  R"," CC"," 24"," 3"," 2",1,"U",76,"U",T,F,F,F,0,"",/  /     :  :,T
