ITEMID],[ITEMBARCODE],[QTY],[InnerBarcode],[InnerQty],[OuterBarcode],[OuterQty],[PalletBarcode],[PalletQty],[BCItemType],[BCInnerType],[BCOuterType],[BCPalletType],[InnerPfx],[OuterPfx],[PalletPfx],[MODIFIEDBY],[MODIFIEDDATETIME],[InnerModBy],[InnerModDT],[OuterModBy],[OuterModDT],[PalletModBy],[PalletModDT],[UnitTypItm],[UnitTypInnr],[UnitTypOutr],[UnitTypPllt],[ItemIDTyp],[ItemBCCfg],[InnerBCConfig],[OuterBCConfig],[PalletBCConfig],[DataAreaID],[ItemHeight],[ItemWidth],[ItemDepth],[ItemWeight],[InnerHeight],[InnerWidth],[InnerDepth],[InnerWeight],[OuterHeight],[OuterWidth],[OuterDepth],[OuterWeight],[PalletHeight],[PalletWidth],[PalletDepth],[PalletWeight],[InnerWMSQty],[OuterWMSQty],[PalletWMSQty],[INVENTDIMID],[Status]
48760/02,9314689891257,1.000000000000,19314689891254,0.000000000000,29314689891251,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 10:01:08.000,SY,2020-05-13 10:01:08.000,SY,2020-05-13 10:01:08.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48761,9314689891264,1.000000000000,19314689891261,0.000000000000,29314689891268,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 10:01:59.000,SY,2020-05-13 10:01:59.000,SY,2020-05-13 10:01:59.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48761/02,9314689891271,1.000000000000,19314689891278,0.000000000000,29314689891275,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 10:03:20.000,SY,2020-05-13 10:03:20.000,SY,2020-05-13 10:03:20.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48762,9314689891288,1.000000000000,19314689891285,12.000000000000,29314689891282,72.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,3,340,460,125,30,340,460,1500,220,370,500,9800,0,0,0,0,12.000000000000,72.000000000000,1.000000000000,AllBlank,Seasonal
48762/02,9314689891295,1.000000000000,19314689891292,12.000000000000,29314689891299,72.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,3,340,460,125,30,340,460,1500,220,370,500,9800,0,0,0,0,12.000000000000,72.000000000000,1.000000000000,AllBlank,Seasonal
48763,9314689891301,1.000000000000,19314689891308,3.000000000000,29314689891305,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,60,65,340,333,60,210,340,1000,240,370,460,10200,0,0,0,0,3.000000000000,24.000000000000,1.000000000000,AllBlank,Seasonal
48763/02,9314689891318,1.000000000000,19314689891315,3.000000000000,29314689891312,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,60,65,340,333,60,210,340,1000,240,370,460,10200,0,0,0,0,3.000000000000,24.000000000000,1.000000000000,AllBlank,Seasonal
48745/02,9314689890892,1.000000000000,19314689890899,0.000000000000,29314689890896,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 09:45:07.000,SY,2020-05-13 09:45:07.000,SY,2020-05-13 09:45:07.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48746,9314689890908,1.000000000000,19314689890905,6.000000000000,29314689890902,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,20,180,450,240,160,180,450,1450,560,470,750,17200,0,0,0,0,6.000000000000,60.000000000000,1.000000000000,AllBlank,Seasonal
48746/02,9314689890915,1.000000000000,19314689890912,0.000000000000,29314689890919,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 09:46:05.000,SY,2020-05-13 09:46:05.000,SY,2020-05-13 09:46:05.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
