"    47331/38","  A"," EE","  2"," 1"," 2",60,"U",120,"U",T,F,F,F,0,"",/  /     :  :,T
"       10007","  A"," BB","  8"," 3"," 6",4,"U",100,"U",T,F,F,F,0,"",/  /     :  :,T
"       13101","  A"," BB"," 11"," 4"," 6",6,"U",72,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       20397","  A"," AA","  3"," 3"," 4",6,"U",400,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    22005/04","  A"," AA"," 16"," 1"," 6",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"       23006","  A"," AA","  3"," 2"," 2",6,"U",20,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    30293/38","  A"," DD","  3"," 3"," 2",24,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    30396/38","  A"," DD","  4"," 3"," 5",18,"U",36,"U",T,F,F,F,0,"",/  /     :  :,T
"       30423","  A"," BB","  7"," 5"," 1",6,"U",144,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       40269","  A"," AA"," 12"," 4"," 2",6,"U",72,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    41246/04","  A"," BB"," 10"," 2"," 9",12,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    41247/04","  A"," BB","  9"," 4"," 9",6,"U",72,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    41341/38","  A"," EE","  8"," 2"," 1",6,"U",24,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    41524/38","  A"," EE","  3"," 4"," 5",6,"U",96,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    41525/38","  A"," EE","  5"," 1"," 2",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"    45982/04","  A"," AA"," 13"," 2"," 2",12,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    47263/38","  A"," EE"," 12"," 4"," 3",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    47264/38","  A"," EE","  8"," 3"," 4",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"       90200","  A"," EE"," 14"," 4"," 6",6,"U",1,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       10026","  A"," BB","  4"," 4"," 1",4,"U",100,"U",T,F,F,F,0,"",/  /     :  :,T
"       20027","  A"," AA","  1"," 2"," 1",6,"U",480,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       20030","  A"," AA","  1"," 2"," 3",6,"U",480,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       20050","  A"," AA","  1"," 3"," 3",6,"U",600,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       20380","  A"," AA","  3"," 3"," 3",6,"U",400,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    22008/04","  A"," CC","  7"," 5"," 8",6,"U",24,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       22015","  A"," AA"," 12"," 4"," 3",6,"U",12,"U",T,F,F,F,0,"",/  /     :  :,T
"       22016","  A"," BB","  7"," 1"," 9",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    22111/04","  A"," AA"," 10"," 4"," 5",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"    22116/04","  A"," CC","  6"," 1"," 1",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       23001","  A"," AA","  5"," 1"," 5",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       23002","  A"," AA","  5"," 3"," 1",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       23005","  A"," AA","  5"," 2"," 5",6,"U",20,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       30493","  A"," AA"," 16"," 5"," 9",72,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"       50110","  A"," AA"," 17"," 2"," 1",6,"U",72,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
